City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Castro,-24.7911,-50.0119,64.69,89,100,4.85,BR,2021-10-02 19:01:08
153,Jaumave,23.4167,-99.3833,78.08,57,100,4.38,MX,2021-10-02 19:03:50
154,Okhotsk,59.3833,143.3,37.4,74,93,9.93,RU,2021-10-02 19:03:51
155,Sitniki,56.4553,44.0666,40.98,64,100,2.26,RU,2021-10-02 19:03:51
156,Songea,-10.6833,35.65,69.87,45,3,4.83,TZ,2021-10-02 19:02:16
157,Moose Factory,51.2585,-80.6094,57.2,72,1,9.22,CA,2021-10-02 18:59:14
158,Kholm-Zhirkovskiy,55.5189,33.4731,40.42,88,24,6.26,RU,2021-10-02 19:03:52
159,Tacuarembo,-31.7333,-55.9833,71.4,51,22,8.43,UY,2021-10-02 19:03:52
160,Rawson,-43.3002,-65.1023,50.43,48,100,30.69,AR,2021-10-02 19:03:52
161,Beringovskiy,63.05,179.3167,31.37,91,97,11.14,RU,2021-10-02 19:03:53
162,Banjar,-8.19,114.9675,78.66,91,100,7.76,ID,2021-10-02 19:03:53
163,Kharp,66.8014,65.8081,29.84,87,27,3.91,RU,2021-10-02 19:03:54
164,Porbandar,21.6422,69.6093,81.1,84,97,5.93,IN,2021-10-02 19:03:54
165,Lavrentiya,65.5833,-171.0,23.43,80,9,9.98,RU,2021-10-02 19:03:54
166,Mount Gambier,-37.8333,140.7667,48.87,95,100,6.62,AU,2021-10-02 19:03:55
167,Nanortalik,60.1432,-45.2371,44.71,60,0,4.88,GL,2021-10-02 19:03:55
168,Belmonte,-15.8631,-38.8828,81.1,73,3,14.61,BR,2021-10-02 19:03:55
169,Merauke,-8.4667,140.3333,77.47,83,100,7.65,ID,2021-10-02 19:00:35
170,Portland,45.5234,-122.6762,67.77,70,71,1.01,US,2021-10-02 19:00:09
171,Manzanillo,20.3433,-77.1167,92.82,43,18,4.05,CU,2021-10-02 19:03:56
172,Bambous Virieux,-20.3428,57.7575,74.21,75,82,15.39,MU,2021-10-02 19:03:56
173,Carutapera,-1.195,-46.02,85.33,62,43,10.89,BR,2021-10-02 19:03:57
174,Lorengau,-2.0226,147.2712,80.24,76,100,3.09,PG,2021-10-02 19:03:57
175,Sao Filipe,14.8961,-24.4956,79.43,82,78,8.16,CV,2021-10-02 19:03:57
176,Buta,2.7858,24.73,67.1,100,100,2.59,CD,2021-10-02 19:03:58
177,Roccastrada,43.0099,11.1665,68.76,73,66,2.42,IT,2021-10-02 19:03:58
178,Bardiyah,31.7561,25.0865,72.09,60,0,13.8,LY,2021-10-02 19:03:58
179,Port Alfred,-33.5906,26.891,56.14,60,75,29.39,ZA,2021-10-02 19:03:59
180,Tura,25.5198,90.2201,73.92,93,93,3.33,IN,2021-10-02 19:03:59
181,Iqaluit,63.7506,-68.5145,40.69,75,8,3.0,CA,2021-10-02 19:00:14
182,Havoysund,70.9963,24.6622,54.48,85,58,12.37,NO,2021-10-02 19:04:00
183,Kohima,25.6667,94.1167,62.62,98,70,2.04,IN,2021-10-02 19:04:00
184,Hasaki,35.7333,140.8333,66.29,80,41,4.97,JP,2021-10-02 19:04:00
185,Nikolskoye,59.7035,30.7861,48.02,89,100,5.03,RU,2021-10-02 19:04:01
186,Port Blair,11.6667,92.75,80.37,82,100,9.4,IN,2021-10-02 19:04:01
187,Srandakan,-7.9386,110.2506,76.12,82,100,6.46,ID,2021-10-02 19:04:01
188,Saint George,37.1041,-113.5841,86.47,20,1,3.0,US,2021-10-02 19:03:05
189,Vao,-22.6667,167.4833,72.1,89,73,18.3,NC,2021-10-02 19:04:02
190,Broome,42.2506,-75.833,77.05,58,19,1.01,US,2021-10-02 18:59:21
191,Skibbereen,51.55,-9.2667,48.0,73,10,15.03,IE,2021-10-02 19:04:02
192,Gravdal,68.1214,13.5031,52.2,83,100,5.88,NO,2021-10-02 19:01:59
193,Norman Wells,65.282,-126.8329,39.36,82,100,3.27,CA,2021-10-02 19:04:03
194,Qaanaaq,77.484,-69.3632,27.52,84,100,13.67,GL,2021-10-02 19:04:03
195,Srono,-8.4,114.2666,74.46,86,100,3.62,ID,2021-10-02 19:04:04
196,San Ramon,37.7799,-121.978,89.1,31,0,4.0,US,2021-10-02 18:59:10
