City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Sal Rei,CV,16.1833,-22.9167,81.16,82,33,7.96,scattered clouds
195,Port Antonio,JM,18.18,-76.4612,85.91,72,72,11.12,broken clouds
196,Methala,IN,10.2166,76.2166,75.2,94,100,2.55,light rain
197,Te Anau,NZ,-45.4167,167.7167,46.18,97,100,2.48,overcast clouds
198,Teberda,RU,43.4456,41.7448,47.88,98,100,3.85,overcast clouds
199,Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.04,50,71,3.69,broken clouds
200,Port Blair,IN,11.6667,92.75,80.31,81,24,6.76,few clouds
201,Sitka,US,57.0531,-135.33,44.49,76,75,6.91,light rain
202,Kaitangata,NZ,-46.2817,169.8464,49.93,79,100,14.38,overcast clouds
203,Vagur,FO,61.4732,-6.8119,48.34,87,100,42.97,overcast clouds
204,Barrow,US,71.2906,-156.7887,30.22,86,90,13.8,mist
205,Faya,SA,18.3851,42.4509,64.51,42,84,1.23,broken clouds
206,Bara,NG,10.3744,10.7288,79.97,60,0,6.49,clear sky
207,Esperance,AU,-33.8667,121.9,42.64,71,59,10.02,broken clouds
208,Yulara,AU,-25.2406,130.9889,53.44,37,0,6.91,clear sky
209,Sao Filipe,CV,14.8961,-24.4956,80.51,77,81,6.67,broken clouds
210,Tuatapere,NZ,-46.1333,167.6833,46.81,92,100,3.47,overcast clouds
211,Lagos,NG,6.5833,3.75,76.86,91,57,3.65,moderate rain
212,Yeppoon,AU,-23.1333,150.7333,74.98,86,2,5.08,clear sky
213,Itarema,BR,-2.9248,-39.9167,79.45,82,0,17.4,clear sky
214,Clyde River,CA,70.4692,-68.5914,36.14,84,90,2.35,overcast clouds
215,Provideniya,RU,64.3833,-173.3,32.11,74,75,4.47,light snow
216,Ribeira Grande,PT,38.5167,-28.7,72.0,88,40,10.36,scattered clouds
217,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,5.75,broken clouds
218,Nantucket,US,41.2835,-70.0995,69.94,84,40,5.75,scattered clouds
219,Toro,CO,4.6117,-76.0814,83.08,71,46,5.48,light rain
220,Yerofey Pavlovich,RU,53.9667,121.9667,28.09,74,42,2.98,scattered clouds
221,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,64.18,35,100,10.67,overcast clouds
222,Baruun-Urt,MN,46.6806,113.2792,33.24,88,11,5.53,few clouds
223,Saint-Francois,FR,46.4154,3.9054,54.48,100,75,2.3,light rain
224,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,27,40,25.32,scattered clouds
225,Chatellerault,FR,46.8,0.5333,51.57,1,91,6.55,overcast clouds
226,Lagoa,PT,39.05,-27.9833,70.7,92,38,11.52,scattered clouds
227,Culaman,PH,5.9603,125.6586,79.66,81,100,2.24,overcast clouds
228,Nishihara,JP,26.1842,127.7558,80.26,68,40,12.66,scattered clouds
229,Yerbogachen,RU,61.2767,108.0108,33.03,84,100,4.68,overcast clouds
