City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Port Antonio,JM,85.91,broken clouds,18.18,-76.4612,The Trident Hotel
196,Methala,IN,75.2,light rain,10.2166,76.2166,Style Homes Holiday Inn
199,Conceicao Do Araguaia,BR,86.04,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
200,Port Blair,IN,80.31,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
206,Bara,NG,79.97,clear sky,10.3744,10.7288,
209,Sao Filipe,CV,80.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
211,Lagos,NG,76.86,moderate rain,6.5833,3.75,
212,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
213,Itarema,BR,79.45,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
216,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
217,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
218,Nantucket,US,69.94,scattered clouds,41.2835,-70.0995,Jared Coffin House
219,Toro,CO,83.08,light rain,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
226,Lagoa,PT,70.7,scattered clouds,39.05,-27.9833,Casa Das Faias
227,Culaman,PH,79.66,overcast clouds,5.9603,125.6586,Jasmin Ex House
228,Nishihara,JP,80.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
232,Bixby,US,84.09,few clouds,35.942,-95.8833,Shadow Valley Community
233,Ratnagiri,IN,79.34,overcast clouds,16.9833,73.3,Hotel Landmark
234,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
236,Denpasar,ID,76.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
237,Bengkulu,ID,74.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
239,Kiunga,PG,70.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
240,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
242,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
243,Casablanca,MA,70.75,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
244,Jalu,LY,74.12,clear sky,29.0331,21.5482,صاحبة الفخامة
245,Dabola,GN,71.64,light rain,10.75,-11.1167,Hotel Tinkisso
246,Jardim,BR,87.17,moderate rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
247,Tame,CO,84.29,broken clouds,6.461,-71.73,Hospedaje Santa Ana
251,Kokologo,BF,84.06,clear sky,12.1897,-1.8856,
252,Jaisalmer,IN,83.93,clear sky,26.9147,70.9181,Hotel Fifu
255,Mabaruma,GY,76.01,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
257,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
265,Shellbrook,CA,65.43,clear sky,53.2168,-106.4011,Shellbrook Hotel
266,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
267,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Dangriga,BZ,87.76,few clouds,16.9692,-88.2321,Chaleanor Hotel
273,Hamilton,US,72.91,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
274,South Sioux City,US,78.15,clear sky,42.4739,-96.4136,Hilton Garden Inn Sioux City Riverfront
278,Saint Anthony,US,73.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
281,Porangatu,BR,88.66,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
282,Akyab,MM,79.83,broken clouds,20.15,92.9,Hotel Memory
285,Ambulu,ID,74.1,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
286,Miandrivazo,MG,77.65,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
287,Bozova,TR,68.92,clear sky,37.3625,38.5267,Bozova Öğretmen Evi
289,Sao Felix Do Xingu,BR,82.78,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
290,Sorong,ID,77.05,overcast clouds,-0.8833,131.25,waigo splash hotel
292,Mogadishu,SO,78.15,scattered clouds,2.0371,45.3438,Hotel Juba
294,Bowen,AU,71.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
295,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
296,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
297,Paita,PE,73.96,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
300,Innisfail,AU,82.87,clear sky,-17.5333,146.0333,Moondarra Motel
302,Guia Lopes Da Laguna,BR,87.76,moderate rain,-21.4578,-56.1142,Donna Lu
303,Itambacuri,BR,85.05,few clouds,-18.0311,-41.685,Pousada Bela
304,Macaubas,BR,86.7,clear sky,-13.0194,-42.6986,Macaúbas Palace Hotel
308,Los Llanos De Aridane,ES,73.13,scattered clouds,28.6585,-17.9182,Valle Aridane
310,Mosquera,CO,68.09,broken clouds,4.7059,-74.2302,Hotel SJ
312,General Roca,AR,66.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
318,Mazamari,PE,83.55,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
319,Jutai,BR,87.67,overcast clouds,-5.1833,-68.9,
320,East Wenatchee Bench,US,74.97,clear sky,47.4257,-120.2812,Coast Wenatchee Center Hotel
322,Shingu,JP,73.24,broken clouds,33.7333,135.9833,Shingu UI Hotel
325,Nachingwea,TZ,68.85,few clouds,-10.3833,38.7667,Makoga lodge
326,Magaria,NE,86.97,clear sky,12.9983,8.9099,Chez Honorable Chapiou
329,Bubaque,GW,82.18,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
330,Amapa,BR,84.04,overcast clouds,1.0,-52.0,
334,Pringsewu,ID,73.99,overcast clouds,-5.3582,104.9744,Urban Style by Front One
336,Inyonga,TZ,77.45,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
337,Vauvert,FR,66.45,overcast clouds,43.7,4.2833,Le Figuier
338,Bonfim,BR,85.89,overcast clouds,3.0833,-59.95,
340,Kupang,ID,75.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
341,Capitan Bado,PY,71.91,overcast clouds,-23.2667,-55.5333,Hotel Suiza
342,Clinton,US,77.56,mist,42.587,-82.9199,Hampton Inn Detroit/Roseville
343,Aitape,PG,77.67,scattered clouds,-3.1374,142.3475,
347,Kirakira,SB,81.37,broken clouds,-10.4544,161.9205,SanBiz Lodge
348,Bethel,US,75.29,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
349,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
350,Kabinda,CD,68.88,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
352,Cidreira,BR,65.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
353,Bac Lieu,VN,76.46,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
354,Fortuna,US,86.41,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
360,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
361,Badoc,PH,80.08,overcast clouds,17.9265,120.4764,Triplets plus One Inn
362,Bad Oldesloe,DE,65.53,overcast clouds,53.8117,10.3742,Good Morning + Bad Oldesloe
363,Diego De Almagro,CL,72.73,clear sky,-26.3667,-70.05,hotel luna del desierto
364,Bud,US,78.75,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
365,Kushima,JP,69.19,clear sky,31.4583,131.2333,Hanaoka
367,Nakama,JP,73.15,clear sky,33.8167,130.7,ホテルベルツー
368,Mankono,CI,74.79,scattered clouds,8.0586,-6.1897,Centre d'accueil Emmaüs
370,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
373,Sirjan,IR,67.42,few clouds,29.452,55.6814,MAPNA Building
377,Dongtai,CN,69.96,scattered clouds,32.8523,120.3095,Super 8 Dongtai South Hailing Road
378,Gotsu,JP,65.16,clear sky,35.0,132.2167,Yurusato
380,Manassas,US,84.54,clear sky,38.751,-77.4753,Olde Towne Inn
382,Tura,IN,70.92,light rain,25.5198,90.2201,Hotel RIKMAN Continental
383,Klaeng,TH,83.95,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
385,Kokoda,PG,76.55,broken clouds,-8.8785,147.7407,Daito Guest House
387,Wucheng,CN,70.36,clear sky,29.6008,118.175,Xiuwu Restaurant
388,Maibong,IN,70.72,broken clouds,25.3,93.1667,Juhi Cottage Maibang
389,Labrea,BR,89.76,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
392,Iracoubo,GF,82.74,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
394,Labuhan,ID,77.92,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
398,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
401,Quatre Cocos,MU,73.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
402,Poya,NC,77.32,clear sky,-21.35,165.15,
404,Valparaiso,CL,67.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
405,Ixtapa,MX,87.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
406,Mount Isa,AU,73.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
407,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
411,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
413,Chahal,GT,86.97,few clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
414,Alofi,NU,75.09,shower rain,-19.0595,-169.9187,Taloa Heights
416,Itarantim,BR,80.13,clear sky,-15.6597,-40.0656,Pousada Buterfly
419,Bukama,CD,71.85,light rain,-9.2,25.85,
420,Yatou,CN,73.26,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
421,Le Port,RE,73.4,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
422,Merauke,ID,76.24,overcast clouds,-8.4667,140.3333,
426,Dawei,MM,75.6,broken clouds,14.0833,98.2,Hotel Dawei
428,Camacha,PT,72.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
429,Betioky,MG,73.13,scattered clouds,-23.7167,44.3833,Bungalows Acacias Hotel
431,Petatlan,MX,86.97,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
435,Boyolangu,ID,73.76,broken clouds,-8.1181,111.8935,Yos ega cv
436,Penticton,CA,70.74,few clouds,49.4806,-119.5858,Penticton Lakeside Resort & Conference Centre
438,Kolokani,ML,82.63,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
439,Fontem,CM,66.0,light rain,5.4685,9.8818,Vista Palace Hotel
443,Mahibadhoo,MV,82.35,clear sky,3.7833,72.9667,Omadhoo Inn
448,Loralai,PK,70.88,few clouds,30.3705,68.598,Sana Poultry Loralai
454,Imbituba,BR,75.09,light rain,-28.24,-48.6703,Praia Hotel Imbituba
455,Manzanillo,CU,85.28,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
456,Guadalajara,MX,78.42,broken clouds,20.6667,-103.3333,Hotel Aranzazú
461,Biloela,AU,71.37,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
462,Mormugao,IN,78.06,drizzle,15.4,73.8,Coconut Creek Resort
463,Kloulklubed,PW,83.57,broken clouds,7.0419,134.2556,Storyboard Beach Resort
466,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
467,Baiao,BR,82.38,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
468,Tigzirt,DZ,72.9,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
470,Atambua,ID,71.51,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
471,Karratha,AU,69.12,clear sky,-20.7377,116.8463,ibis Styles Karratha
474,Pathein,MM,77.09,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
475,Pulsano,IT,71.82,scattered clouds,40.3821,17.3564,Gabbiano Hotel
478,Faridpur,BD,82.4,moderate rain,23.6,89.8333,Progoti hostel
479,Chake Chake,TZ,73.31,broken clouds,-5.2459,39.7666,Hotel Archipelago
480,Centerville,US,71.92,overcast clouds,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
481,Mahon,ES,73.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
